"OrderID","CustomerID","EmployeeID","ShippingMethodID","OrderDate","ShipDate","FreightCharge"
"2","1","1","1","7/10/2003","7/10/2003","0.00"
"4","2","2","1","7/11/2003","7/11/2003","0.00"
"5","2","1","1","7/15/2003","7/15/2003","0.00"
"6","3","1","1","7/14/2003","7/14/2003","0.00"
"7","4","1","1","7/14/2003","7/15/2003","0.00"
"8","5","1","1","7/14/2003","7/14/2003","0.00"
"9","5","1","1","7/15/2003","7/15/2003","0.00"
"10","6","1","1","7/16/2003","7/16/2003","0.00"
"11","3","1","1","7/16/2003","7/16/2003","0.00"
"12","3","1","1","7/17/2003","7/17/2003","0.00"
"13","2","1","1","7/18/2003","7/18/2003","0.00"
"14","7","2","1","7/18/2003","7/18/2003","0.00"
"15","9","1","1","7/18/2003","7/18/2003","0.00"
"16","10","1","1","7/19/2003","7/19/2003","0.00"
"17","4","1","1","7/21/2003","7/21/2003","0.00"
"18","11","1","1","7/22/2003","7/22/2003","0.00"
"19","12","1","1","7/22/2003","7/22/2003","0.00"
"20","2","1","1","7/22/2003","7/22/2003","0.00"
"21","5","1","1","7/22/2003","7/22/2003","0.00"
"22","3","2","1","7/23/2003","7/23/2003","0.00"
"23","12","2","1","7/23/2003","7/23/2003","0.00"
"24","2","2","1","7/23/2003","7/23/2003","0.00"
"25","8","2","1","7/24/2003","7/24/2003","0.00"
"26","1","1","1","7/24/2003","7/24/2003","0.00"
"27","8","2","1","7/24/2003","7/24/2003","0.00"
"28","6","1","1","7/25/2003","7/25/2003","0.00"
"29","13","1","1","7/25/2003","7/25/2003","0.00"
"30","7","1","1","7/25/2003","7/25/2003","0.00"
"31","5","1","1","7/28/2003","7/28/2003","0.00"
"32","5","2","1","7/29/2003","7/29/2003","0.00"
"33","14","1","1","7/29/2003","7/29/2003","0.00"
"34","6","1","1","7/29/2003","7/29/2003","0.00"
"35","4","1","1","7/29/2003","7/29/2003","0.00"
"36","15","1","1","7/29/2003","7/29/2003","0.00"
"37","12","1","1","7/30/2003","7/30/2003","0.00"
"38","3","2","1","7/31/2003","7/31/2003","0.00"
"39","8","2","1","7/31/2003","7/31/2003","0.00"
"40","2","1","1","8/1/2003","8/1/2003","0.00"
"41","5","2","1","8/2/2003","8/2/2003","0.00"
"42","4","2","1","8/2/2003","8/2/2003","0.00"
"43","14","2","1","8/4/2003","8/4/2003","0.00"
"44","12","2","1","8/4/2003","8/4/2003","0.00"
"45","5","2","1","8/4/2003","8/4/2003","0.00"
"46","16","2","1","8/4/2003","8/4/2003","0.00"
"47","3","1","1","8/5/2003","8/5/2003","0.00"
"48","17","1","1","8/5/2003","8/5/2003","0.00"
"49","18","1","1","8/5/2003","8/5/2003","0.00"
"50","7","1","1","8/5/2003","8/5/2003","0.00"
"51","18","1","1","8/6/2003","8/6/2003","0.00"
"52","19","1","1","8/6/2003","8/6/2003","0.00"
"53","4","1","1","8/7/2003","8/7/2003","0.00"
"54","5","1","1","8/8/2003","8/8/2003","0.00"
"55","20","1","1","8/8/2003","8/8/2003","0.00"
"56","12","2","1","8/9/2003","8/9/2003","0.00"
"57","3","2","1","8/11/2003","8/11/2003","0.00"
"58","18","2","1","8/11/2003","8/11/2003","0.00"
"59","21","2","1","8/12/2003","8/12/2003","0.00"
"60","5","1","1","8/12/2003","8/12/2003","0.00"
"61","17","1","1","8/13/2003","8/13/2003","0.00"
"62","2","1","1","8/13/2003","8/13/2003","0.00"
"63","2","1","1","8/13/2003","8/14/2003","0.00"
"66","4","1","1","8/13/2003","8/13/2003","0.00"
"67","6","2","1","8/14/2003","8/14/2003","0.00"
"68","8","1","1","8/14/2003","8/14/2003","0.00"
"69","5","1","1","8/14/2003","8/14/2003","0.00"
"70","3","2","1","8/15/2003","8/15/2003","0.00"
"71","5","1","1","8/15/2003","8/15/2003","0.00"
"72","8","2","1","8/15/2003","8/15/2003","0.00"
"73","9","1","1","8/15/2003","8/15/2003","0.00"
"74","13","1","1","8/15/2003","8/15/2003","0.00"
"75","22","1","1","8/16/2003","8/16/2003","0.00"
"76","12","1","1","8/16/2003","8/16/2003","0.00"
"77","5","1","1","8/16/2003","8/16/2003","0.00"
"78","4","2","1","8/16/2003","8/16/2003","0.00"
"79","23","2","1","8/16/2003","8/16/2003","0.00"
"80","22","1","1","8/18/2003","8/18/2003","0.00"
"81","5","1","1","8/18/2003","8/18/2003","0.00"
"82","22","1","1","8/18/2003","8/18/2003","0.00"
"83","11","1","1","8/19/2003","8/19/2003","0.00"
"84","2","1","1","8/19/2003","8/19/2003","0.00"
"85","5","2","1","8/19/2003","8/19/2003","0.00"
"86","1","1","1","8/19/2003","8/19/2003","0.00"
"87","4","2","1","8/19/2003","8/19/2003","0.00"
"88","6","2","1","8/20/2003","8/20/2003","0.00"
"89","5","2","1","8/20/2003","8/20/2003","0.00"
"90","5","1","1","8/20/2003","8/20/2003","0.00"
"91","4","2","1","8/20/2003","8/20/2003","0.00"
"92","18","1","1","8/20/2003","8/20/2003","0.00"
"93","21","2","1","8/20/2003","8/20/2003","0.00"
"94","8","1","1","8/20/2003","8/20/2003","0.00"
"95","20","2","1","8/21/2003","8/21/2003","0.00"
"96","8","2","1","8/21/2003","8/21/2003","0.00"
"97","5","1","1","8/22/2003","8/22/2003","0.00"
"98","2","1","1","8/22/2003","8/22/2003","0.00"
"99","17","1","1","8/22/2003","8/22/2003","0.00"
"100","9","1","1","8/22/2003","8/22/2003","0.00"
"101","24","1","1","8/22/2003","8/22/2003","0.00"
"102","4","1","1","8/23/2003","8/23/2003","0.00"
"103","7","1","1","8/23/2003","8/23/2003","0.00"
"104","22","2","1","8/25/2003","8/25/2003","0.00"
"105","21","2","1","8/25/2003","8/25/2003","0.00"
"106","4","2","1","8/26/2003","8/26/2003","0.00"
"107","22","2","1","8/26/2003","8/26/2003","0.00"
"108","5","1","1","8/27/2003","8/27/2003","0.00"
"109","4","1","1","8/29/2003","8/29/2003","0.00"
"110","4","1","1","8/30/2003","8/30/2003","0.00"
"111","8","1","1","8/30/2003","8/30/2003","0.00"
"113","7","1","1","8/30/2003","8/30/2003","0.00"
"114","22","1","1","8/29/2003","8/29/2003","0.00"
"115","23","1","1","8/29/2003","8/29/2003","0.00"
"116","5","1","1","9/2/2003","9/2/2003","0.00"
"117","4","2","1","9/2/2003","9/2/2003","0.00"
"118","2","2","1","9/1/2003","9/1/2003","0.00"
"119","8","2","1","9/3/2003","9/3/2003","0.00"
"120","25","1","1","9/3/2003","9/3/2003","0.00"
"121","21","1","1","9/3/2003","9/3/2003","0.00"
"122","8","2","1","9/4/2003","9/4/2003","0.00"
"124","7","1","1","9/4/2003","9/4/2003","0.00"
"125","22","1","1","9/5/2003","9/5/2003","0.00"
"126","13","1","1","9/6/2003","9/6/2003","0.00"
"127","4","1","1","9/6/2003","9/6/2003","0.00"
"128","2","1","1","9/6/2003","9/6/2003","0.00"
"129","26","1","1","9/6/2003","9/6/2003","0.00"
"131","3","1","1","9/9/2003","9/9/2003","0.00"
"132","5","1","1","9/9/2003","9/9/2003","0.00"
"133","2","1","1","9/10/2003","9/10/2003","0.00"
"134","23","1","1","9/10/2003","9/10/2003","0.00"
"135","18","1","1","9/10/2003","9/10/2003","0.00"
"136","7","1","1","9/11/2003","9/11/2003","0.00"
"137","28","1","1","9/11/2003","9/11/2003","0.00"
"138","24","1","1","9/12/2003","9/12/2003","0.00"
"139","5","1","1","9/15/2003","9/15/2003","0.00"
"140","2","1","1","9/16/2003","9/16/2003","0.00"
"141","4","1","1","9/13/2003","9/13/2003","0.00"
"142","7","1","1","9/15/2003","9/15/2003","0.00"
"143","8","1","1","9/15/2003","9/15/2003","0.00"
"144","2","1","1","9/17/2003","9/17/2003","0.00"
"145","19","1","1","9/17/2003","9/17/2003","0.00"
"146","21","2","1","9/17/2003","9/17/2003","0.00"
"147","22","2","1","9/17/2003","9/17/2003","0.00"
